payosha256:pay_token:ps2t8bcf41139725dd21998a:192321

@VERSION v5.16-ll2.3.5
@MD5 f58a4352556b2b1c0b3fc349ea021ba0
@ROOT k_cbe8CkNfPttf
@RULE x6xwalledchaos
@SYMMETRY C1
@NUM_SOUPS 10000
@NUM_OBJECTS 10000

@CENSUS TABLE
xp3_0u222iiiiiiiiiii222uz0vwvwsc444cswvwvz0vwvw7644467wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws2222222swvwvzvwvw788898887wvwvzfggjiiiiiiiiiiiiijggf 37
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwfggjiiijggfwvz074444444444444447_u11p99999999999p11uzvwvws22i22swvwvzvwvw3444443wvwvz7889999999999999887 31
xp3_0u222iiiiiiiii222uz0vwvwc444cwvwvz0vwvw64446wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2iai2swvwvzvwvw789a987wvwvzfggjiiiiiiiiiiijggf 25
xp12_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwvy2vwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvwfdffwvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 23
xp3_0u222iiiiiiiiiii222uz0vwvws4x4swvwvz0vwfggjigggijggfwvz07444444444444444447_u11p9999999999999p11uzvwvws2iaaai2swvwvzvwvw344555443wvwvz788999999999999999887 21
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvw76667wvwvz0f888999999999888f_u11p99999999999p11uzvwvws22i22swvwvzvwvw7888887wvwvzfggjiiiiiiiiiiijggf 19
xp3_0u222iiiiiiiiiii222uz0vwvws44444swvwvz0vwvw7445667wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws22iii22swvwvzvwvw788988887wvwvzfggjiiiiiiiiiiiiijggf 18
xp3_0u222iiiiiiiiiiii222uz0vwvws44444cswvwvz0vwvw74444467wvwvz0f888999999999999888f_u11p99999999999999p11uzvwvws22ii2222swvwvzvwvw7889998887wvwvzfggjiiiiiiiiiiiiiijggf 16
xp3_0u222iiiiiiiiii222uz0vwvws4w4swvwvz0vwvw764467wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws2iaai2swvwvzvwvw78888887wvwvzfggjiiiiiiiiiiiijggf 16
xp3_0u222iiiiiiiiiiiii222uz0vwvws4444444swvwvz0vwvwvw252wvwvwvz0vw788999999999887wvz0322222222222222222223_u11p999999999999999p11uzvwvws22iiiii22swvwvzvwvwvwf888fwvwvwvzvwvgghiiiiiiiiihggvwvz34444444444444444444443 15
xp3_0u222iiiiiiiiiiii222uz0vwvwg4ck44sswvwvz0vwvw39ca88ffwvwvz0vgghiiiiiiiiiiiihggv_u11p99999999999999p11uzvwvwoc222i222swvwvzvwvw7cgghjgggfwvwvzvw7444444444444447wvz011111111111111111111 14
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvw76667wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2i2i2swvwvzvwvw7888887wvwvzfggjiiiiiiiiiiijggf 14
xp6_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvwfecefwvwvz0vgghiiiiiiiiihggv_u11p99999999999p11uzvwvws22i22swvwvzvwvwfgggggfwvwvzvw7444444444447wvz011111111111111111 13
xp3_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvw74457667wvwvz0f888999999999999888f_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvw7889888887wvwvzfggjiiiiiiiiiiiiiijggf 13
xp3_0u222iiiiiiiiiii222uz0vwvws4x4swvwvz0vwvw7644467wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws2iaaai2swvwvzvwvw788888887wvwvzfggjiiiiiiiiiiiiijggf 13
xp3_0u222iiiiiiiiiii222uz0vwvwg4ck44swvwvz0vwvw39ca88fwvwvz0vgghiiiiiiiiiiihggv_u11p9999999999999p11uzvwvwoc222i22swvwvzvwvw7cgghjggfwvwvzvw744444444444447wvz01111111111111111111 13
xp12_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwvy2vwvwvz0vwfggjiiiiiijggfwvz074444444444444444447_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvwvrvvwvwvwvzvwvw3444444443wvwvz7889999999999999999887 13
xp3_0u222iiiiiiiiiiii222uz0vwvws44444cswvwvz0vwvwfe9888cfwvwvz0vgghiiiiiiiiiiiihggv_u11p99999999999999p11uzvwvws22iii222swvwvzvwvwfgggiihggfwvwvzvw7444444444444447wvz011111111111111111111 12
xp3_0u222iiiiiiiiiiii222uz0vwvwsy2swvwvz0vwvwvg0330gvwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws240gg042swvwvzvwvwvw7w7wvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 11
xp3_0u222iiiiiiiiiiii222uz0vwvwk444444swvwvz0vwvwnmf08ggvwvwvz0vw34444444444443wvz011111111111111111111_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvwgv37wvwvwvzvwf88899999999888fwvz1222222222222222222221 11
xp3_0u222iiiiiiiiiii222uz0vwvws4x4swvwvz0vwvwvg101gvwvwvz0vw7889999999887wvz03222222222222222223_u11p9999999999999p11uzvwvws22s0s22swvwvzvwvwvw696wvwvwvzvwvgghiiiiiiihggvwvz344444444444444444443 11
xp3_0u222iiiiiiiiii222uz0vwvws4444swvwvz0vwvw744567wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws22ii22swvwvzvwvw78898887wvwvzfggjiiiiiiiiiiiijggf 11
