payosha256:pay_token:ps2tb96de17b1128a3948660:136194

@VERSION v5.16-ll2.3.5
@MD5 c13a46e48b4a5ee13f649e1beb77ec98
@ROOT k_rANFY76X9DTm
@RULE x6xwalledchaos
@SYMMETRY C1
@NUM_SOUPS 10000
@NUM_OBJECTS 10002

@CENSUS TABLE
xp3_0u222iiiiiiiiiii222uz0vwvwsc444cswvwvz0vwvw7644467wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws2222222swvwvzvwvw788898887wvwvzfggjiiiiiiiiiiiiijggf 35
xp3_0u222iiiiiiiiiii222uz0vwvws44444swvwvz0vwvw7445667wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws22iii22swvwvzvwvw788988887wvwvzfggjiiiiiiiiiiiiijggf 30
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwfggjiiijggfwvz074444444444444447_u11p99999999999p11uzvwvws22i22swvwvzvwvw3444443wvwvz7889999999999999887 28
xp3_0u222iiiiiiiiii222uz0vwvws4444swvwvz0vwvw744567wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws22ii22swvwvzvwvw78898887wvwvzfggjiiiiiiiiiiiijggf 26
xp3_0u222iiiiiiiii222uz0vwvwc444cwvwvz0vwvw64446wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2iai2swvwvzvwvw789a987wvwvzfggjiiiiiiiiiiijggf 24
xp3_0u222iiiiiiiiiiiii222uz0vwvws4444444swvwvz0vwvwvw252wvwvwvz0vw788999999999887wvz0322222222222222222223_u11p999999999999999p11uzvwvws22iiiii22swvwvzvwvwvwf888fwvwvwvzvwvgghiiiiiiiiihggvwvz34444444444444444444443 20
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvw76667wvwvz0f888999999999888f_u11p99999999999p11uzvwvws22i22swvwvzvwvw7888887wvwvzfggjiiiiiiiiiiijggf 20
xp12_0u222iiiiiiii222uz0vwvws44swvwvz0vwfggjiijggfwvz07444444444444447_u11p9999999999p11uzvwvws22i2swvwvzvwvw344443wvwvz788999999999999887 19
xp12_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwvy2vwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvwfdffwvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 18
xp30_0u222iiiiiiiiiiii222uz0vwvwc4k44k4cwvwvz0vwvwc8a88a8cwvwvz0vgghiiiiiiiiiiiihggv_u11p99999999999999p11uzvwvws2i2ii2i2swvwvzvwvwfgjgiigjgfwvwvzvw7444444444444447wvz011111111111111111111 17
xp3_0u222iiiiiiiiiii222uz0vwvws4x4swvwvz0vwfggjigggijggfwvz07444444444444444447_u11p9999999999999p11uzvwvws2iaaai2swvwvzvwvw344555443wvwvz788999999999999999887 16
xp3_0u222iiiiiiiiiii222uz0vwvwg4ck44swvwvz0vwvw39ca88fwvwvz0vgghiiiiiiiiiiihggv_u11p9999999999999p11uzvwvwoc222i22swvwvzvwvw7cgghjggfwvwvzvw744444444444447wvz01111111111111111111 15
xp30_0u222iiiiiiiiiiii222uz0vwvwsckkkcsxvwvz0vwvwvokkkovxvwvz0vw34444444444443wvz011111111111111111111_u11p99999999999999p11uzvwvws2222222sxvwvzvwvwvy3vxvwvzvwf88899999998888fwvz1222222222222222222221 15
xp3_0u222iiiiiiiiii222uz0vwvws4w4swvwvz0vwvw764467wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws2iaai2swvwvzvwvw78888887wvwvzfggjiiiiiiiiiiiijggf 13
xp3_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwee9889eewvwvz0vgghiiiiiiiiiiiihggv_u11p99999999999999p11uzvwvws22iiiii2swvwvzvwvwfgggiigggfwvwvzvw7444444444444447wvz011111111111111111111 12
xp3_0u222iiiiiiiiiiii222uz0vwvwg4ck44sswvwvz0vwvw39ca88ffwvwvz0vgghiiiiiiiiiiiihggv_u11p99999999999999p11uzvwvwoc222i222swvwvzvwvw7cgghjgggfwvwvzvw7444444444444447wvz011111111111111111111 12
xp3_0u222iiiiiiiiiiiii222uz0vwvws4444444swvwvz0vwvwv04heh40vwvwvz0vwvw744444447wvwvz0f8889999999999999888f_u11p999999999999999p11uzvwvws22iiiii22swvwvzvwvwvwhxhwvwvwvzvwvw78899999887wvwvzfggjiiiiiiiiiiiiiiijggf 11
xp3_0u222iiiiiiiiiiii222uz0vwvw4ssscccswvwvz0vwvw8fffcccfwvwvz0vgghiiiiiiiiiiiihggv_u11p99999999999999p11uzvwvw422222222swvwvzvwvw8ggggghggfwvwvzvw7444444444444447wvz011111111111111111111 11
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvwfeeefwvwvz0vgghiiiiiiiiihggv_u11p99999999999p11uzvwvws22i22swvwvzvwvwfgggggfwvwvzvw7444444444447wvz011111111111111111 11
xp3_0u222iiiiiiiii222uz0vwvwk44cswvwvz0vwvw74447wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2i222swvwvzvwvw7889887wvwvzfggjiiiiiiiiiiijggf 11
xp15_0u222iiiiiiiiiii222uz0vwvws44444swvwvz0vwvwvy1vwvwvz0vw7889999999887wvz03222222222222222223_u11p9999999999999p11uzvwvws22iii22swvwvzvwvwvwdfdwvwvwvzvwvgghiiiiiiihggvwvz344444444444444444443 11
xp12_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwvy2vwvwvz0vwfggjiiiiiijggfwvz074444444444444444447_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvwvrvvwvwvwvzvwvw3444444443wvwvz7889999999999999999887 11
xp6_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvwfecefwvwvz0vgghiiiiiiiiihggv_u11p99999999999p11uzvwvws22i22swvwvzvwvwfgggggfwvwvzvw7444444444447wvz011111111111111111 10
xp3_0u222iiiiiiiiiiii222uz0vwvwsy2swvwvz0vwvwvg0330gvwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws240gg042swvwvzvwvwvw7w7wvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 10
xp3_0u222iiiiiiiii222uz0vwvwk444swvwvz0vwfggjiiijggfwvz074444444444444447_u11p99999999999p11uzvwvws2ii22swvwvzvwvw3444443wvwvz7889999999999999887 10
xp12_0u222iiiiiiii222uz0vwvws44swvwvz0vwvw7667wvwvz0f88899999999888f_u11p9999999999p11uzvwvws22i2swvwvzvwvw788887wvwvzfggjiiiiiiiiiijggf 10
xp9_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwvy2vwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvwf9ffwvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 9
xp3_0u222iiiiiiiiiiiii222uz0vwvws4444444swvwvz0vwvw744575447wvwvz0f8889999999999999888f_u11p999999999999999p11uzvwvws22iiiii22swvwvzvwvw78898889887wvwvzfggjiiiiiiiiiiiiiiijggf 9
xp3_0u222iiiiiiiiiii222uz0vwvws44444swvwvz0vwvwf88a98fwvwvz0vgghiiiiiiiiiiihggv_u11p9999999999999p11uzvwvws22iii22swvwvzvwvwfggjhiggfwvwvzvw744444444444447wvz01111111111111111111 9
xp3_0u222iiiiiiiiiiiii222uz0vwvws4444444swvwvz0vwvwvw21ewvwvwvz0vw788999999999887wvz0322222222222222222223_u11p999999999999999p11uzvwvws22iiiii22swvwvzvwvwvwf880fwvwvwvzvwvgghiiiiiiiiihggvwvz34444444444444444444443 8
