payosha256:pay_token:ps2tdafe478df3d32793006f:931888

@VERSION v5.16-ll2.3.5
@MD5 4f6cf39f1396013dcabe81f64370aca5
@ROOT k_gH3MfgtUvLBw
@RULE x6xwalledchaos
@SYMMETRY C1
@NUM_SOUPS 10000
@NUM_OBJECTS 10000

@CENSUS TABLE
xp3_0u222iiiiiiiiiii222uz0vwvwsc444cswvwvz0vwvw7644467wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws2222222swvwvzvwvw788898887wvwvzfggjiiiiiiiiiiiiijggf 33
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwfggjiiijggfwvz074444444444444447_u11p99999999999p11uzvwvws22i22swvwvzvwvw3444443wvwvz7889999999999999887 29
xp30_0u222iiiiiiiiiiii222uz0vwvwsckkkcsxvwvz0vwvwvokkkovxvwvz0vw34444444444443wvz011111111111111111111_u11p99999999999999p11uzvwvws2222222sxvwvzvwvwvy3vxvwvzvwf88899999998888fwvz1222222222222222222221 26
xp12_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwvy2vwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvwfdffwvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 26
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvw76667wvwvz0f888999999999888f_u11p99999999999p11uzvwvws22i22swvwvzvwvw7888887wvwvzfggjiiiiiiiiiiijggf 25
xp3_0u222iiiiiiiii222uz0vwvwc444cwvwvz0vwvw64446wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2iai2swvwvzvwvw789a987wvwvzfggjiiiiiiiiiiijggf 22
xp3_0u222iiiiiiiiiiii222uz0vwvws44444cswvwvz0vwvw74444467wvwvz0f888999999999999888f_u11p99999999999999p11uzvwvws22ii2222swvwvzvwvw7889998887wvwvzfggjiiiiiiiiiiiiiijggf 19
xp3_0u222iiiiiiiiiii222uz0vwvws4x4swvwvz0vwfggjigggijggfwvz07444444444444444447_u11p9999999999999p11uzvwvws2iaaai2swvwvzvwvw344555443wvwvz788999999999999999887 17
xp3_0u222iiiiiiiiiii222uz0vwvws44444swvwvz0vwvw7445667wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws22iii22swvwvzvwvw788988887wvwvzfggjiiiiiiiiiiiiijggf 17
xp3_0u222iiiiiiiiiiii222uz0vwvwg4ck44sswvwvz0vwvw39ca88ffwvwvz0vgghiiiiiiiiiiiihggv_u11p99999999999999p11uzvwvwoc222i222swvwvzvwvw7cgghjgggfwvwvzvw7444444444444447wvz011111111111111111111 16
xp12_0u222iiiiiiii222uz0vwvws44swvwvz0vwfggjiijggfwvz07444444444444447_u11p9999999999p11uzvwvws22i2swvwvzvwvw344443wvwvz788999999999999887 15
xp3_0u222iiiiiiiiii222uz0vwvws4w4swvwvz0vwvw764467wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws2iaai2swvwvzvwvw78888887wvwvzfggjiiiiiiiiiiiijggf 14
xp3_0u222iiiiiiiiii222uz0vwvws4444swvwvz0vwvw744567wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws22ii22swvwvzvwvw78898887wvwvzfggjiiiiiiiiiiiijggf 14
xp3_0u222iiiiiiiiiii222uz0vwvws44kccswvwvz0vwvwvw8wvwvwvz0vw7889999999887wvz03222222222222222223_u11p9999999999999p11uzvwvws22i2222swvwvzvwvwvwf0fwvwvwvzvwvgghiiiiiiihggvwvz344444444444444444443 13
xp6_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvwfecefwvwvz0vgghiiiiiiiiihggv_u11p99999999999p11uzvwvws22i22swvwvzvwvwfgggggfwvwvzvw7444444444447wvz011111111111111111 12
xp6_0u222iiiiiiiiiiii222uz0vwvws4y04swvwvz0vwvwv226622vwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws22muum22swvwvzvwvwvw8888wvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 11
xp3_0u222iiiiiiiiiiii222uz0vwvwsy2swvwvz0vwvwvg0330gvwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws240gg042swvwvzvwvwvw7w7wvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 11
xp3_0u222iiiiiiiiiii222uz0vwvws4x4swvwvz0vwvw7644467wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws2iaaai2swvwvzvwvw788888887wvwvzfggjiiiiiiiiiiiiijggf 11
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvw76667wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2i2i2swvwvzvwvw7888887wvwvzfggjiiiiiiiiiiijggf 11
xp3_0u222iiiiiiiii222uz0vwvwk44cswvwvz0vwvw74447wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2i222swvwvzvwvw7889887wvwvzfggjiiiiiiiiiiijggf 11
xp12_0u222iiiiiiii222uz0vwvws44swvwvz0vwvw7667wvwvz0f88899999999888f_u11p9999999999p11uzvwvws22i2swvwvzvwvw788887wvwvzfggjiiiiiiiiiijggf 11
xp3_0u222iiiiiiiiiiii222uz0vwvws444k44swvwvz0vwvw74445447wvwvz0f888999999999999888f_u11p99999999999999p11uzvwvws22ii2i22swvwvzvwvw7889989887wvwvzfggjiiiiiiiiiiiiiijggf 10
xp3_0u222iiiiiiiiii222uz0vwvws4444swvwvz0vwvw744447wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws22ii22swvwvzvwvw78899887wvwvzfggjiiiiiiiiiiiijggf 10
xp3_0u222iiiiiiiii222uz0vwvwk444swvwvz0vwfggjiiijggfwvz074444444444444447_u11p99999999999p11uzvwvws2ii22swvwvzvwvw3444443wvwvz7889999999999999887 10
xp3_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwee9889eewvwvz0vgghiiiiiiiiiiiihggv_u11p99999999999999p11uzvwvws22iiiii2swvwvzvwvwfgggiigggfwvwvzvw7444444444444447wvz011111111111111111111 9
xp3_0u222iiiiiiiiiii222uz0vwvwg4ck44swvwvz0vwvw39ca88fwvwvz0vgghiiiiiiiiiiihggv_u11p9999999999999p11uzvwvwoc222i22swvwvzvwvw7cgghjggfwvwvzvw744444444444447wvz01111111111111111111 9
xp3_0u222iiiiiiiiii222uz0vwvws4w4swvwvz0vwvw764467wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws22aq22swvwvzvwvw78888887wvwvzfggjiiiiiiiiiiiijggf 9
xp3_0u222iiii2222iiii222uz0vwfws444444swfwvz0vwowvggggggvwowvz0vw34444y044443wvz011111111111111111111_u11p99999h11h99999p11uzvwfg842poooop248gfwvzvwo48g0ffffff0g84owvzvwf8889a4w4a9888fwvz1222222222222222222221 9
xp15_0u222iiiiiiiiiii222uz0vwvws44444swvwvz0vwvwvy1vwvwvz0vw7889999999887wvz03222222222222222223_u11p9999999999999p11uzvwvws22iii22swvwvzvwvwvwdfdwvwvwvzvwvgghiiiiiiihggvwvz344444444444444444443 9
