payosha256:pay_token:ps2t519bf40268e802c2097b:415260

@VERSION v5.16-ll2.3.5
@MD5 1ed71a407a1d1e9c969ba49c8ef53d54
@ROOT k_x39yewbBrhwE
@RULE x6xwalledchaos
@SYMMETRY C1
@NUM_SOUPS 12
@NUM_OBJECTS 12

@CENSUS TABLE
xp6_0u222iiiiiiiiiii222uz0vwvwc44444swvwvz0vwvwuteuwvwvwvz0vwvwvy1vwvwvz0vw7889888899887wvz03222222222222222223_u11p9999999999999p11uzvwvws2iiii22swvwvzvwvwv1xvwvwvwvzvwvwvx1xvwvwvzvwvgghihgghiihggvwvz344444444444444444443 1
xp3_0u222iiiiiiiiiiiiiiiii222uz0vwvws44444444444swvwvz0vwvwvwu11p11uwvwvwvz0vwvwvgghiiiignggvwvwvz0vw3444444444444444443wvz01111111111111111111111111_u11p9999999999999999999p11uzvwvws22iiiiiiiii22swvwvzvwvwvwvw84owvwvwvwvzvwvwvw744445407wvwvwvzvwf8889999999999999888fwvz122222222222222222222222221 1
xp3_0u222iiiiiiiiiiiii2q22uz0vwvws44444440uwvwvz0vwvwvweh26wvwvwvz0vwvw7444444447wvwvz0f88899999999999999888f_u11p9999999999999991p11uzvwvws22iiiiiq20vwvwvzvwvwvwvw8gvwvwvwvzvwvw788999999887wvwvzfggjiiiiiiiiiiiiiiiijggf 1
xp3_0u222iiiiiiiiiiiii222uz0vwvws4444444swvwvz0vwvwv44lhewvwvwvz0vwvw744444447wvwvz0f8889999999999999888f_u11p999999999999999p11uzvwvws22iiiii22swvwvzvwvwvwhwhvwvwvwvzvwvw78899999887wvwvzfggjiiiiiiiiiiiiiiijggf 1
xp3_0u222iiiiiiiiiiii222uz0vwvws44kk40uwvwvz0vwvwvy010vwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws22i22i20vwvwvzvwvwvwfffewvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 1
xp3_0u222iiiiiiiiiiii222uz0vwvw2ggggo4cwvwvz0vwvwvw2486444vwvz0vwfggjiiiiiiiggfwvz074444444444444444447_u11p99999999999999p11uzvwv02qceeee622swvwvzvwvwvwssihhhhwvwvzvwvw3444444443wvwvz7889999999999999999887 1
xp3_0u222iiiiiiiiiii222uz0vwvwk44444xvwvz0vwvwf89898ewvwvz0vgghiiiiiiiiiiihggv_u11p9999999999999p11uzvwvws222i22cxvwvzvwvwfggijighewvwvzvw744444444444447wvz01111111111111111111 1
xp3_0u222iiiiiiiii222uz0vwvws444uwvwvz0vwvwf888vwvwvz0vgghiiiiiiiign80f_u11p99999999999p11uzvwvws22a20vwvwvzvwvwfggkg0vwvwvzvw744444444540nggfz0111111111111111 1
xp3_0u222iiii222iiiii222uz0vwvwc8v0v04owvwvz0vw78899888999887wvz032222222222222222223_u11p999999p9999999p11uzvwvws2wv02a2swvwvzvwvgghiijjiiiihggvwvz3444444444444444444443 1
xp3_0u2222iiiiiiiiii222uz0vwg70k44444swvwvz0vwvw6565447wvwvz0f88899999999999888f_u11pp999999999999p11uzvwvf02aiiii22swvwvzvwvw698889887wvwvzfggjiiiiiiiiiiiiijggf 1
xp3_0u2222iiiiiii222uz0vwmpps444wvwvz0vwfhgghggggfwvz07444444444444447_u11ppp99999999p11uzvwvw222ia4wvwvzvwvx643y0vwvz788999999999999887 1
xp30_0u222iiiiiiiiiiii222uz0vwvws4y04swvwvz0vwvwvvb33bvvwvwvz0vwfggjjjjjjjjggfwvz074444444444444444447_u11p99999999999999p11uzvwvws22cwc22swvwvzvwvwvy4vwvwvzvwvw3444444443wvwvz7889999999999999999887 1

@SAMPLE_SOUPIDS
xp6_0u222iiiiiiiiiii222uz0vwvwc44444swvwvz0vwvwuteuwvwvwvz0vwvwvy1vwvwvz0vw7889888899887wvz03222222222222222223_u11p9999999999999p11uzvwvws2iiii22swvwvzvwvwv1xvwvwvwvzvwvwvx1xvwvwvzvwvgghihgghiihggvwvz344444444444444444443 9
xp3_0u222iiiiiiiiiiiiiiiii222uz0vwvws44444444444swvwvz0vwvwvwu11p11uwvwvwvz0vwvwvgghiiiignggvwvwvz0vw3444444444444444443wvz01111111111111111111111111_u11p9999999999999999999p11uzvwvws22iiiiiiiii22swvwvzvwvwvwvw84owvwvwvwvzvwvwvw744445407wvwvwvzvwf8889999999999999888fwvz122222222222222222222222221 6
xp3_0u222iiiiiiiiiiiii2q22uz0vwvws44444440uwvwvz0vwvwvweh26wvwvwvz0vwvw7444444447wvwvz0f88899999999999999888f_u11p9999999999999991p11uzvwvws22iiiiiq20vwvwvzvwvwvwvw8gvwvwvwvzvwvw788999999887wvwvzfggjiiiiiiiiiiiiiiiijggf 0
xp3_0u222iiiiiiiiiiiii222uz0vwvws4444444swvwvz0vwvwv44lhewvwvwvz0vwvw744444447wvwvz0f8889999999999999888f_u11p999999999999999p11uzvwvws22iiiii22swvwvzvwvwvwhwhvwvwvwvzvwvw78899999887wvwvzfggjiiiiiiiiiiiiiiijggf 5
xp3_0u222iiiiiiiiiiii222uz0vwvws44kk40uwvwvz0vwvwvy010vwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws22i22i20vwvwvzvwvwvwfffewvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 10
xp3_0u222iiiiiiiiiiii222uz0vwvw2ggggo4cwvwvz0vwvwvw2486444vwvz0vwfggjiiiiiiiggfwvz074444444444444444447_u11p99999999999999p11uzvwv02qceeee622swvwvzvwvwvwssihhhhwvwvzvwvw3444444443wvwvz7889999999999999999887 8
xp3_0u222iiiiiiiiiii222uz0vwvwk44444xvwvz0vwvwf89898ewvwvz0vgghiiiiiiiiiiihggv_u11p9999999999999p11uzvwvws222i22cxvwvzvwvwfggijighewvwvzvw744444444444447wvz01111111111111111111 11
xp3_0u222iiiiiiiii222uz0vwvws444uwvwvz0vwvwf888vwvwvz0vgghiiiiiiiign80f_u11p99999999999p11uzvwvws22a20vwvwvzvwvwfggkg0vwvwvzvw744444444540nggfz0111111111111111 7
xp3_0u222iiii222iiiii222uz0vwvwc8v0v04owvwvz0vw78899888999887wvz032222222222222222223_u11p999999p9999999p11uzvwvws2wv02a2swvwvzvwvgghiijjiiiihggvwvz3444444444444444444443 1
xp3_0u2222iiiiiiiiii222uz0vwg70k44444swvwvz0vwvw6565447wvwvz0f88899999999999888f_u11pp999999999999p11uzvwvf02aiiii22swvwvzvwvw698889887wvwvzfggjiiiiiiiiiiiiijggf 2
xp3_0u2222iiiiiii222uz0vwmpps444wvwvz0vwfhgghggggfwvz07444444444444447_u11ppp99999999p11uzvwvw222ia4wvwvzvwvx643y0vwvz788999999999999887 3
xp30_0u222iiiiiiiiiiii222uz0vwvws4y04swvwvz0vwvwvvb33bvvwvwvz0vwfggjjjjjjjjggfwvz074444444444444444447_u11p99999999999999p11uzvwvws22cwc22swvwvzvwvwvy4vwvwvzvwvw3444444443wvwvz7889999999999999999887 4
