payosha256:pay_token:ps2t286c5e8032b8d896c6c2:117246

@VERSION v5.16-ll2.3.5
@MD5 e5c1d3f812089e52b75b0c0073c175c4
@ROOT k_HeHpG9P267xX
@RULE x6xwalledchaos
@SYMMETRY C1
@NUM_SOUPS 10000
@NUM_OBJECTS 10000

@CENSUS TABLE
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwfggjiiijggfwvz074444444444444447_u11p99999999999p11uzvwvws22i22swvwvzvwvw3444443wvwvz7889999999999999887 41
xp3_0u222iiiiiiiiiii222uz0vwvwsc444cswvwvz0vwvw7644467wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws2222222swvwvzvwvw788898887wvwvzfggjiiiiiiiiiiiiijggf 30
xp3_0u222iiiiiiiii222uz0vwvwc444cwvwvz0vwvw64446wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2iai2swvwvzvwvw789a987wvwvzfggjiiiiiiiiiiijggf 28
xp3_0u222iiiiiiiiiii222uz0vwvws44444swvwvz0vwvw7445667wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws22iii22swvwvzvwvw788988887wvwvzfggjiiiiiiiiiiiiijggf 25
xp3_0u222iiiiiiiiii222uz0vwvws4444swvwvz0vwvw744567wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws22ii22swvwvzvwvw78898887wvwvzfggjiiiiiiiiiiiijggf 22
xp3_0u222iiiiiiiiii222uz0vwvws4w4swvwvz0vwvw764467wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws2iaai2swvwvzvwvw78888887wvwvzfggjiiiiiiiiiiiijggf 17
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvw76667wvwvz0f888999999999888f_u11p99999999999p11uzvwvws22i22swvwvzvwvw7888887wvwvzfggjiiiiiiiiiiijggf 17
xp12_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwvy2vwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvwfdffwvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 17
xp12_0u222iiiiiiii222uz0vwvws44swvwvz0vwfggjiijggfwvz07444444444444447_u11p9999999999p11uzvwvws22i2swvwvzvwvw344443wvwvz788999999999999887 16
xp3_0u222iiiiiiiiiiii222uz0vwvws44444cswvwvz0vwvw74444467wvwvz0f888999999999999888f_u11p99999999999999p11uzvwvws22ii2222swvwvzvwvw7889998887wvwvzfggjiiiiiiiiiiiiiijggf 13
xp3_0u222iiiiiiiii222uz0vwvwk444swvwvz0vwfggjiiijggfwvz074444444444444447_u11p99999999999p11uzvwvws2ii22swvwvzvwvw3444443wvwvz7889999999999999887 13
xp3_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvw74457667wvwvz0f888999999999999888f_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvw7889888887wvwvzfggjiiiiiiiiiiiiiijggf 12
xp3_0u222iiiiiiiiiiii222uz0vwvwk444444swvwvz0vwvwnmf08ggvwvwvz0vw34444444444443wvz011111111111111111111_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvwgv37wvwvwvzvwf88899999999888fwvz1222222222222222222221 12
xp3_0u222iiiiiiiiiiii222uz0vwvwg4ck44sswvwvz0vwvw39ca88ffwvwvz0vgghiiiiiiiiiiiihggv_u11p99999999999999p11uzvwvwoc222i222swvwvzvwvw7cgghjgggfwvwvzvw7444444444444447wvz011111111111111111111 12
xp3_0u222iiiiiiiii222uz0vwvwk44cswvwvz0vwvw74447wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2i222swvwvzvwvw7889887wvwvzfggjiiiiiiiiiiijggf 12
xp3_0u222iiiiiiiiiiiii222uz0vwvws4444444swvwvz0vwvwvw969wvwvwvz0vwfggjiiiiiiijggfwvz0744444444444444444447_u11p999999999999999p11uzvwvws22iiiii22swvwvzvwvwvwpgggpwvwvwvzvwvw34444444443wvwvz78899999999999999999887 11
xp3_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwvggggjgvwvwvz0vw34444444444443wvz011111111111111111111_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvw7774wvwvwvzvwf88899999999888fwvz1222222222222222222221 11
xp3_0u222iiiiiiiiiii222uz0vwvws4x4swvwvz0vwfggjigggijggfwvz07444444444444444447_u11p9999999999999p11uzvwvws2iaaai2swvwvzvwvw344555443wvwvz788999999999999999887 11
xp30_0u222iiiiiiiiiiii222uz0vwvwsckkkcsxvwvz0vwvwvokkkovxvwvz0vw34444444444443wvz011111111111111111111_u11p99999999999999p11uzvwvws2222222sxvwvzvwvwvy3vxvwvzvwf88899999998888fwvz1222222222222222222221 11
xp15_0u222iiiiiiiiiii222uz0vwvws44444swvwvz0vwvwvy1vwvwvz0vw7889999999887wvz03222222222222222223_u11p9999999999999p11uzvwvws22iii22swvwvzvwvwvwdfdwvwvwvzvwvgghiiiiiiihggvwvz344444444444444444443 11
xp12_0u222iiiiiiii222uz0vwvws44swvwvz0vwvw7667wvwvz0f88899999999888f_u11p9999999999p11uzvwvws22i2swvwvzvwvw788887wvwvzfggjiiiiiiiiiijggf 11
xp6_0u222iiiiiiiiiiii222uz0vwvws4y04swvwvz0vwvwv226622vwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws22muum22swvwvzvwvwvw8888wvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 10
