payosha256:pay_token:ps2tf1c0e0009d956dd89412:331818

@VERSION v5.16-ll2.3.5
@MD5 389823a38be75c26c8feb27c01a8c82a
@ROOT k_XZpamL3SM3WF
@RULE x6xwalledchaos
@SYMMETRY C1
@NUM_SOUPS 10000
@NUM_OBJECTS 10002

@CENSUS TABLE
xp3_0u222iiiiiiiiiii222uz0vwvwsc444cswvwvz0vwvw7644467wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws2222222swvwvzvwvw788898887wvwvzfggjiiiiiiiiiiiiijggf 28
xp12_0u222iiiiiiiiiiii222uz0vwvws444444swvwvz0vwvwvy2vwvwvz0vw78899999999887wvz032222222222222222223_u11p99999999999999p11uzvwvws22iiii22swvwvzvwvwvwfdffwvwvwvzvwvgghiiiiiiiihggvwvz3444444444444444444443 26
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvw76667wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2i2i2swvwvzvwvw7888887wvwvzfggjiiiiiiiiiiijggf 23
xp3_0u222iiiiiiiiiii222uz0vwvws44444swvwvz0vwvw7445667wvwvz0f88899999999999888f_u11p9999999999999p11uzvwvws22iii22swvwvzvwvw788988887wvwvzfggjiiiiiiiiiiiiijggf 22
xp3_0u222iiiiiiiiiii222uz0vwvws4x4swvwvz0vwfggjigggijggfwvz07444444444444444447_u11p9999999999999p11uzvwvws2iaaai2swvwvzvwvw344555443wvwvz788999999999999999887 20
xp3_0u222iiiiiiiiii222uz0vwvws4444swvwvz0vwvw744567wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws22ii22swvwvzvwvw78898887wvwvzfggjiiiiiiiiiiiijggf 19
xp30_0u222iiiiiiiiiiii222uz0vwvwc4k44k4cwvwvz0vwvwc8a88a8cwvwvz0vgghiiiiiiiiiiiihggv_u11p99999999999999p11uzvwvws2i2ii2i2swvwvzvwvwfgjgiigjgfwvwvzvw7444444444444447wvz011111111111111111111 19
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwfggjiiijggfwvz074444444444444447_u11p99999999999p11uzvwvws22i22swvwvzvwvw3444443wvwvz7889999999999999887 18
xp3_0u222iiiiiiiii222uz0vwvwc444cwvwvz0vwvw64446wvwvz0f888999999999888f_u11p99999999999p11uzvwvws2iai2swvwvzvwvw789a987wvwvzfggjiiiiiiiiiiijggf 18
xp3_0u222iiiiiiiiiiii222uz0vwvws44444cswvwvz0vwvw74444467wvwvz0f888999999999999888f_u11p99999999999999p11uzvwvws22ii2222swvwvzvwvw7889998887wvwvzfggjiiiiiiiiiiiiiijggf 17
xp6_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvwfecefwvwvz0vgghiiiiiiiiihggv_u11p99999999999p11uzvwvws22i22swvwvzvwvwfgggggfwvwvzvw7444444444447wvz011111111111111111 16
xp3_0u222iiiiiiiiiiiii222uz0vwvws4444444swvwvz0vwvwvw252wvwvwvz0vw788999999999887wvz0322222222222222222223_u11p999999999999999p11uzvwvws22iiiii22swvwvzvwvwvwf888fwvwvwvzvwvgghiiiiiiiiihggvwvz34444444444444444444443 13
xp3_0u222iiiiiiiii222uz0vwvws440uwvwvz0vwfggjiiijggfwvz074444444444444447_u11p99999999999p11uzvwvws22q20vwvwvzvwvw3444443wvwvz7889999999999999887 13
xp3_0u222iiiiiiiiiii222uz0vwvws4x4swvwvz0vwvwvg101gvwvwvz0vw7889999999887wvz03222222222222222223_u11p9999999999999p11uzvwvws22s0s22swvwvzvwvwvw696wvwvwvzvwvgghiiiiiiihggvwvz344444444444444444443 12
xp3_0u222iiiiiiiiii222uz0vwvws4w4swvwvz0vwvw764467wvwvz0f8889999999999888f_u11p999999999999p11uzvwvws2iaai2swvwvzvwvw78888887wvwvzfggjiiiiiiiiiiiijggf 12
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwvw76667wvwvz0f888999999999888f_u11p99999999999p11uzvwvws22i22swvwvzvwvw7888887wvwvzfggjiiiiiiiiiiijggf 12
xp30_0u222iiiiiiiiiiii222uz0vwvwsckkkcsxvwvz0vwvwvokkkovxvwvz0vw34444444444443wvz011111111111111111111_u11p99999999999999p11uzvwvws2222222sxvwvzvwvwvy3vxvwvzvwf88899999998888fwvz1222222222222222222221 12
xp12_0u222iiiiiiii222uz0vwvws44swvwvz0vwfggjiijggfwvz07444444444444447_u11p9999999999p11uzvwvws22i2swvwvzvwvw344443wvwvz788999999999999887 12
xp3_0u222iiiiiiiiiiiii222uz0vwvws4444444swvwvz0vwvw744575447wvwvz0f8889999999999999888f_u11p999999999999999p11uzvwvws22iiiii22swvwvzvwvw78898889887wvwvzfggjiiiiiiiiiiiiiiijggf 11
xp3_0u222iiiiiiiii222uz0vwvws444swvwvz0vwfggjiiijggfwvz074444444444444447_u11p99999999999p11uzvwvws22a22swvwvzvwvw3445443wvwvz7889999999999999887 11
